rank,tau,lookback_W,omega,sentiment_half_life_tau,lookback_window_W,pc5_weight_omega,final_equity,total_return,total_return_pct,cagr,cagr_pct,annual_volatility,volatility_annual_pct,sharpe_ratio,max_drawdown,max_drawdown_pct,calmar_ratio,win_rate,trade_win_rate_pct,turnover,annual_turnover_times,delta_sharpe,delta_maxdd,delta_sharpe_vs_dyn,delta_maxdd_vs_dyn,status
1,3.0,30,0.3,3.0,30,0.3,2566708.46,1.5667,156.67,0.4554,45.54,0.1794,17.94,2.044,-0.1219,12.19,3.74,0.5029,50.29,41.19,41.19,0.139,0.0299,0.045,0.0179,GLOBAL_OPTIMAL
2,5.0,30,0.2,5.0,30,0.2,2617856.55,1.6179,161.79,0.4669,46.69,0.1848,18.48,2.033,-0.1262,12.62,3.7,0.5024,50.24,43.81,43.81,0.128,0.0256,0.034,0.0136,SUPERIOR
3,1.0,30,0.1,1.0,30,0.1,2615868.04,1.6159,161.59,0.4664,46.64,0.1868,18.68,2.011,-0.1573,15.73,2.97,0.5048,50.48,44.86,44.86,0.106,-0.0055,0.012,-0.0175,OUTPERFORM_STATIC
4,3.0,30,0.1,3.0,30,0.1,2618139.56,1.6181,161.81,0.4669,46.69,0.1876,18.76,2.005,-0.1518,15.18,3.08,0.4935,49.35,44.03,44.03,0.1,0.0,0.006,-0.012,OUTPERFORM_STATIC
5,5.0,30,0.3,5.0,30,0.3,2513742.36,1.5137,151.37,0.4433,44.33,0.1817,18.17,1.975,-0.141,14.1,3.14,0.4997,49.97,41.11,41.11,0.07,0.0108,-0.024,-0.0012,OUTPERFORM_STATIC
6,3.0,30,0.2,3.0,30,0.2,2522235.65,1.5222,152.22,0.4453,44.53,0.1843,18.43,1.957,-0.15,15.0,2.97,0.4981,49.81,43.32,43.32,0.052,0.0018,-0.042,-0.0102,OUTPERFORM_STATIC
7,5.0,30,0.1,5.0,30,0.1,2557951.89,1.558,155.8,0.4534,45.34,0.1875,18.75,1.957,-0.1506,15.06,3.01,0.496,49.6,44.27,44.27,0.052,0.0012,-0.042,-0.0108,OUTPERFORM_STATIC
8,1.0,30,0.2,1.0,30,0.2,2512003.8,1.512,151.2,0.4429,44.29,0.1864,18.64,1.928,-0.1678,16.78,2.64,0.5035,50.35,43.78,43.78,0.023,-0.016,-0.071,-0.028,OUTPERFORM_STATIC
9,3.0,20,0.1,3.0,20,0.1,2414820.29,1.4148,141.48,0.4205,42.05,0.1885,18.85,1.826,-0.1421,14.21,2.96,0.4809,48.09,49.96,49.96,-0.079,0.0097,-0.173,-0.0023,SUBOPTIMAL
10,1.0,20,0.1,1.0,20,0.1,2390072.93,1.3901,139.01,0.4146,41.46,0.188,18.8,1.809,-0.1522,15.22,2.72,0.4896,48.96,49.49,49.49,-0.096,-0.0004,-0.19,-0.0124,SUBOPTIMAL
11,1.0,30,0.3,1.0,30,0.3,2206463.76,1.2065,120.65,0.3703,37.03,0.1771,17.71,1.728,-0.141,14.1,2.63,0.4914,49.14,42.09,42.09,-0.177,0.0108,-0.271,-0.0012,SUBOPTIMAL
12,3.0,20,0.2,3.0,20,0.2,2244296.34,1.2443,124.43,0.3796,37.96,0.1839,18.39,1.708,-0.1442,14.42,2.63,0.4819,48.19,49.32,49.32,-0.197,0.0076,-0.291,-0.0044,SUBOPTIMAL
13,1.0,20,0.3,1.0,20,0.3,2177809.6,1.1778,117.78,0.3632,36.32,0.1781,17.81,1.69,-0.1421,14.21,2.56,0.4936,49.36,47.98,47.98,-0.215,0.0097,-0.309,-0.0023,SUBOPTIMAL
14,3.0,20,0.3,3.0,20,0.3,2133809.84,1.1338,113.38,0.3522,35.22,0.1791,17.91,1.636,-0.1201,12.01,2.93,0.4896,48.96,47.89,47.89,-0.269,0.0317,-0.363,0.0197,SUBOPTIMAL
15,5.0,20,0.2,5.0,20,0.2,2174763.8,1.1748,117.48,0.3625,36.25,0.1861,18.61,1.623,-0.136,13.6,2.67,0.4812,48.12,51.5,51.5,-0.282,0.0158,-0.376,0.0038,SUBOPTIMAL
16,5.0,20,0.1,5.0,20,0.1,2181710.0,1.1817,118.17,0.3642,36.42,0.1913,19.13,1.59,-0.1721,17.21,2.12,0.4806,48.06,51.46,51.46,-0.315,-0.0203,-0.409,-0.0323,SUBOPTIMAL
17,1.0,20,0.2,1.0,20,0.2,2028332.9,1.0283,102.83,0.3252,32.52,0.1841,18.41,1.487,-0.196,19.6,1.66,0.4788,47.88,48.9,48.9,-0.418,-0.0442,-0.512,-0.0562,SUBOPTIMAL
18,5.0,20,0.3,5.0,20,0.3,1988859.92,0.9889,98.89,0.3148,31.48,0.182,18.2,1.459,-0.1546,15.46,2.04,0.4789,47.89,49.29,49.29,-0.446,-0.0028,-0.54,-0.0148,SUBOPTIMAL
