fit_id,version,fit_date,train_start,train_last_signal,max_label_available_at,a,c,half_life,valid_samples,valid_dates,l2_reg,fallback_reason,success,theta_00,theta_01,theta_02,theta_03,theta_04,theta_05,theta_06,theta_07,theta_08,theta_09,theta_10,message,objective,gradient_norm,iterations,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32
V1-2024-11-01-L0.1-H60,V1,2024-11-01,2024-04-16,2024-10-23,2024-10-31,0.000357424561412045,0.0,60,12250,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-02-05-L0.1-H60,V2,2025-02-05,2024-07-16,2025-01-17,2025-01-27,0.00024481468942462177,0.0,60,12260,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-03-03-L0.1-H60,V2,2025-03-03,2024-08-09,2025-02-20,2025-02-28,0.0003012358948034905,0.0,60,12273,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-04-01-L0.1-H60,V2,2025-04-01,2024-09-09,2025-03-21,2025-03-31,0.00025490273713441134,0.0,60,12272,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-05-06-L0.1-H60,V2,2025-05-06,2024-10-17,2025-04-22,2025-04-30,-7.721913213872369e-05,0.0,60,12305,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-06-03-L0.1-H60,V2,2025-06-03,2024-11-13,2025-05-22,2025-05-30,-7.606142728535395e-05,0.0,60,12313,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-07-01-L0.1-H60,V2,2025-07-01,2024-12-11,2025-06-20,2025-06-30,-6.212691946105443e-05,0.0,60,12313,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-08-01-L0.1-H60,V2,2025-08-01,2025-01-14,2025-07-23,2025-07-31,-5.567927722547224e-06,0.0,60,12313,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-09-01-L0.1-H60,V2,2025-09-01,2025-02-20,2025-08-21,2025-08-29,6.02503127123705e-05,0.0,60,12289,126,0.1,unidentifiable_c_or_D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
V2-2025-10-09-L0.1-H60,V2,2025-10-09,2025-03-24,2025-09-22,2025-09-30,0.0009079768276019429,0.007985270442574523,60,12203,126,0.1,,True,1.122573866784248e-05,-1.4742217708277523e-05,-1.5349049769137272e-05,-4.42852240068945e-07,-3.834374877236692e-06,1.6509714005083005e-05,1.767333314145343e-05,2.4572134523720584e-05,-1.2251964158699096e-05,-1.0185665993235656e-05,2.9342874362388605e-06,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.002898413730207642,9.263621187620237e-11,1.0,,,,,,,,,,,,,,,,,,,,,,
