candidate,baseline,block_length,mean_difference,ci_low,ci_high,p_value,dates,holm_p_value
V1,B0,5,0.0,0.0,0.0,1.0,378,1.0
V2,V1,5,-4.773091219923265e-06,-1.862649432278402e-05,3.4558423579091355e-06,0.3823088455772114,378,1.0
V3,V2,5,3.1224714715713162e-06,-5.184355688275359e-07,1.0584780280134995e-05,0.28335832083958024,378,1.0
V4,V3,5,1.4477048224874967e-06,-1.3181085071475544e-05,1.776485414324874e-05,0.8490754622688655,378,1.0
V5,V4,5,1.5587265482667275e-05,-5.515174254927077e-06,4.025512718009143e-05,0.191904047976012,378,0.95952023988006
V1,B0,10,0.0,0.0,0.0,1.0,378,1.0
V2,V1,10,-4.773091219923265e-06,-1.8583505354887018e-05,2.758846451202942e-06,0.4007996001999001,378,1.0
V3,V2,10,3.1224714715713162e-06,-5.184355688275359e-07,1.0713420933030286e-05,0.3028485757121439,378,1.0
V4,V3,10,1.4477048224874967e-06,-1.386749484526041e-05,1.8771935591946595e-05,0.8495752123938031,378,1.0
V5,V4,10,1.5587265482667275e-05,-6.3291959298470375e-06,4.160358677741915e-05,0.20239880059970014,378,1.0
V1,B0,20,0.0,0.0,0.0,1.0,378,1.0
V2,V1,20,-4.773091219923265e-06,-1.5739417614757398e-05,3.0081804719876436e-06,0.3183408295852074,378,1.0
V3,V2,20,3.1224714715713162e-06,-2.5921778441376794e-07,1.084108068606982e-05,0.3168415792103948,378,1.0
V4,V3,20,1.4477048224874967e-06,-1.5545320489230496e-05,1.6164438945221916e-05,0.8615692153923038,378,1.0
V5,V4,20,1.5587265482667275e-05,-4.32583056760588e-06,4.529712952880387e-05,0.2193903048475762,378,1.0
